"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6400304,"2018029","2623010300","26230002","부산광역시 부산진구2","부산광역시 부산진구 부전동(부전지구대 부근)",5,8,0,3,5,0,129.062174860283,35.1643356178953,"{""type"":""Polygon"",""coordinates"":[[[129.06437018,35.16430728],[129.06436484,35.16446451],[129.06434283,35.16462076],[129.06430432,35.16477484],[129.06424960,35.16492557],[129.06417909,35.16507182],[129.06409333,35.16521246],[129.06399296,35.16534643],[129.06387876,35.16547271],[129.06375160,35.16559033],[129.06361243,35.16569841],[129.06346232,35.16579611],[129.06330241,35.16588270],[129.06313392,35.16595751],[129.06295813,35.16601998],[129.06277637,35.16606963],[129.06259004,35.16610608],[129.06240055,35.16612906],[129.06220934,35.16613838],[129.06201787,35.16613399],[129.06182760,35.16611591],[129.06163997,35.16608428],[129.06145640,35.16603935],[129.06127831,35.16598144],[129.06110704,35.16591101],[129.06094390,35.16582859],[129.06079013,35.16573481],[129.06064689,35.16563038],[129.06051529,35.16551609],[129.06039631,35.16539282],[129.06029088,35.16526151],[129.06019978,35.16512315],[129.06012371,35.16497879],[129.06006325,35.16482954],[129.06001887,35.16467653],[129.05999089,35.16452093],[129.05997954,35.16436391],[129.05998489,35.16420668],[129.06000691,35.16405044],[129.06004543,35.16389636],[129.06010016,35.16374562],[129.06017067,35.16359938],[129.06025644,35.16345874],[129.06035680,35.16332477],[129.06047101,35.16319850],[129.06059818,35.16308088],[129.06073735,35.16297281],[129.06088746,35.16287511],[129.06104736,35.16278853],[129.06121585,35.16271372],[129.06139163,35.16265125],[129.06157338,35.16260161],[129.06175970,35.16256515],[129.06194918,35.16254218],[129.06214038,35.16253285],[129.06233185,35.16253724],[129.06252211,35.16255532],[129.06270974,35.16258695],[129.06289329,35.16263188],[129.06307138,35.16268979],[129.06324264,35.16276021],[129.06340578,35.16284263],[129.06355955,35.16293641],[129.06370278,35.16304084],[129.06383439,35.16315512],[129.06395336,35.16327839],[129.06405881,35.16340970],[129.06414991,35.16354806],[129.06422598,35.16369241],[129.06428644,35.16384166],[129.06433084,35.16399467],[129.06435882,35.16415027],[129.06437018,35.16430728]]]}"
6400305,"2018029","2623011000","26230003","부산광역시 부산진구3","부산광역시 부산진구 가야동(가야고앞 부근)",4,5,0,3,2,0,129.030496511906,35.1474463031053,"{""type"":""Polygon"",""coordinates"":[[[129.03269141,35.14741855],[129.03268601,35.14757578],[129.03266394,35.14773203],[129.03262537,35.14788610],[129.03257061,35.14803682],[129.03250006,35.14818305],[129.03241425,35.14832367],[129.03231386,35.14845762],[129.03219963,35.14858387],[129.03207244,35.14870146],[129.03193325,35.14880949],[129.03178314,35.14890716],[129.03162322,35.14899370],[129.03145474,35.14906847],[129.03127895,35.14913089],[129.03109722,35.14918049],[129.03091091,35.14921690],[129.03072145,35.14923982],[129.03053028,35.14924910],[129.03033885,35.14924466],[129.03014861,35.14922653],[129.02996103,35.14919485],[129.02977752,35.14914986],[129.02959949,35.14909191],[129.02942828,35.14902143],[129.02926520,35.14893897],[129.02911150,35.14884514],[129.02896833,35.14874067],[129.02883680,35.14862635],[129.02871790,35.14850305],[129.02861253,35.14837170],[129.02852151,35.14823331],[129.02844551,35.14808894],[129.02838513,35.14793967],[129.02834081,35.14778665],[129.02831290,35.14763103],[129.02830161,35.14747401],[129.02830703,35.14731678],[129.02832910,35.14716054],[129.02836767,35.14700647],[129.02842245,35.14685575],[129.02849301,35.14670952],[129.02857881,35.14656890],[129.02867921,35.14643496],[129.02879344,35.14630871],[129.02892064,35.14619113],[129.02905982,35.14608309],[129.02920994,35.14598543],[129.02936985,35.14589889],[129.02953833,35.14582413],[129.02971411,35.14576171],[129.02989583,35.14571211],[129.03008213,35.14567571],[129.03027159,35.14565278],[129.03046275,35.14564350],[129.03065418,35.14564795],[129.03084440,35.14566608],[129.03103197,35.14569775],[129.03121547,35.14574274],[129.03139350,35.14580069],[129.03156471,35.14587116],[129.03172778,35.14595362],[129.03188148,35.14604745],[129.03202465,35.14615191],[129.03215618,35.14626623],[129.03227508,35.14638953],[129.03238045,35.14652087],[129.03247148,35.14665926],[129.03254748,35.14680363],[129.03260787,35.14695290],[129.03265220,35.14710592],[129.03268011,35.14726153],[129.03269141,35.14741855]]]}"
6398241,"2018029","2623010100","26230004","부산광역시 부산진구4","부산광역시 부산진구 양정동(양정교차로 부근)",4,5,0,3,2,0,129.07252486723,35.1735272683696,"{""type"":""Polygon"",""coordinates"":[[[129.07472043,35.17349874],[129.07471510,35.17365597],[129.07469311,35.17381222],[129.07465461,35.17396630],[129.07459991,35.17411704],[129.07452941,35.17426329],[129.07444366,35.17440394],[129.07434330,35.17453792],[129.07422911,35.17466420],[129.07410194,35.17478184],[129.07396277,35.17488992],[129.07381265,35.17498764],[129.07365274,35.17507424],[129.07348424,35.17514907],[129.07330844,35.17521155],[129.07312667,35.17526122],[129.07294033,35.17529768],[129.07275082,35.17532068],[129.07255959,35.17533002],[129.07236810,35.17532565],[129.07217780,35.17530759],[129.07199014,35.17527597],[129.07180656,35.17523105],[129.07162844,35.17517317],[129.07145714,35.17510275],[129.07129397,35.17502035],[129.07114017,35.17492658],[129.07099690,35.17482216],[129.07086527,35.17470788],[129.07074626,35.17458463],[129.07064080,35.17445332],[129.07054967,35.17431497],[129.07047358,35.17417062],[129.07041309,35.17402137],[129.07036869,35.17386837],[129.07034069,35.17371277],[129.07032931,35.17355576],[129.07033464,35.17339853],[129.07035664,35.17324228],[129.07039515,35.17308820],[129.07044986,35.17293746],[129.07052036,35.17279121],[129.07060612,35.17265056],[129.07070648,35.17251659],[129.07082068,35.17239031],[129.07094785,35.17227267],[129.07108702,35.17216459],[129.07123713,35.17206688],[129.07139704,35.17198028],[129.07156554,35.17190546],[129.07174133,35.17184298],[129.07192309,35.17179332],[129.07210943,35.17175685],[129.07229893,35.17173386],[129.07249015,35.17172451],[129.07268163,35.17172889],[129.07287192,35.17174695],[129.07305957,35.17177856],[129.07324315,35.17182348],[129.07342127,35.17188136],[129.07359256,35.17195178],[129.07375573,35.17203418],[129.07390952,35.17212794],[129.07405279,35.17223236],[129.07418442,35.17234663],[129.07430343,35.17246988],[129.07440890,35.17260119],[129.07450003,35.17273954],[129.07457613,35.17288388],[129.07463662,35.17303312],[129.07468103,35.17318613],[129.07470904,35.17334173],[129.07472043,35.17349874]]]}"
6400952,"2018029","2717010100","27170002","대구광역시 서구2","대구광역시 서구 내당동(감삼역 부근)",4,4,0,3,1,0,128.54944120305,35.8548633325776,"{""type"":""Polygon"",""coordinates"":[[[128.55165585,35.85484397],[128.55164950,35.85500118],[128.55162634,35.85515734],[128.55158655,35.85531126],[128.55153044,35.85546177],[128.55145842,35.85560773],[128.55137105,35.85574803],[128.55126899,35.85588159],[128.55115302,35.85600740],[128.55102403,35.85612451],[128.55088298,35.85623201],[128.55073096,35.85632910],[128.55056913,35.85641504],[128.55039871,35.85648916],[128.55022101,35.85655091],[128.55003736,35.85659982],[128.54984918,35.85663551],[128.54965790,35.85665771],[128.54946497,35.85666626],[128.54927185,35.85666109],[128.54908003,35.85664223],[128.54889095,35.85660983],[128.54870606,35.85656415],[128.54852677,35.85650551],[128.54835444,35.85643438],[128.54819037,35.85635130],[128.54803583,35.85625688],[128.54789199,35.85615187],[128.54775993,35.85603704],[128.54764067,35.85591328],[128.54753512,35.85578154],[128.54744407,35.85564280],[128.54736822,35.85549813],[128.54730815,35.85534863],[128.54726431,35.85519544],[128.54723704,35.85503972],[128.54722655,35.85488266],[128.54723291,35.85472545],[128.54725608,35.85456929],[128.54729588,35.85441537],[128.54735200,35.85426485],[128.54742402,35.85411890],[128.54751140,35.85397861],[128.54761346,35.85384505],[128.54772943,35.85371924],[128.54785843,35.85360214],[128.54799947,35.85349463],[128.54815149,35.85339755],[128.54831332,35.85331162],[128.54848374,35.85323750],[128.54866144,35.85317575],[128.54884507,35.85312684],[128.54903324,35.85309115],[128.54922452,35.85306895],[128.54941744,35.85306040],[128.54961055,35.85306558],[128.54980236,35.85308443],[128.54999143,35.85311683],[128.55017631,35.85316251],[128.55035560,35.85322114],[128.55052793,35.85329227],[128.55069199,35.85337536],[128.55084653,35.85346977],[128.55099037,35.85357478],[128.55112243,35.85368960],[128.55124169,35.85381336],[128.55134724,35.85394510],[128.55143830,35.85408383],[128.55151415,35.85422850],[128.55157423,35.85437800],[128.55161807,35.85453119],[128.55164535,35.85468691],[128.55165585,35.85484397]]]}"
6400637,"2018029","2720010300","27200001","대구광역시 남구1","대구광역시 남구 대명동(대구광역시종합복지회관 부근)",7,7,1,3,3,0,128.570759895654,35.8495278428366,"{""type"":""Polygon"",""coordinates"":[[[128.57297438,35.84950809],[128.57296807,35.84966530],[128.57294496,35.84982146],[128.57290521,35.84997539],[128.57284914,35.85012591],[128.57277717,35.85027189],[128.57268984,35.85041220],[128.57258783,35.85054577],[128.57247190,35.85067161],[128.57234294,35.85078873],[128.57220194,35.85089626],[128.57204996,35.85099338],[128.57188816,35.85107934],[128.57171777,35.85115350],[128.57154009,35.85121528],[128.57135648,35.85126422],[128.57116832,35.85129994],[128.57097706,35.85132218],[128.57078414,35.85133076],[128.57059104,35.85132562],[128.57039922,35.85130680],[128.57021015,35.85127444],[128.57002526,35.85122878],[128.56984597,35.85117018],[128.56967362,35.85109908],[128.56950955,35.85101602],[128.56935500,35.85092164],[128.56921113,35.85081664],[128.56907906,35.85070184],[128.56895977,35.85057811],[128.56885419,35.85044638],[128.56876311,35.85030766],[128.56868723,35.85016300],[128.56862713,35.85001352],[128.56858325,35.84986033],[128.56855594,35.84970462],[128.56854541,35.84954756],[128.56855173,35.84939035],[128.56857485,35.84923419],[128.56861460,35.84908026],[128.56867068,35.84892974],[128.56874266,35.84878377],[128.56883000,35.84864346],[128.56893201,35.84850988],[128.56904794,35.84838406],[128.56917690,35.84826693],[128.56931791,35.84815940],[128.56946989,35.84806229],[128.56963168,35.84797633],[128.56980206,35.84790218],[128.56997974,35.84784040],[128.57016334,35.84779146],[128.57035149,35.84775574],[128.57054275,35.84773351],[128.57073566,35.84772492],[128.57092875,35.84773007],[128.57112056,35.84774889],[128.57130962,35.84778125],[128.57149450,35.84782690],[128.57167379,35.84788550],[128.57184613,35.84795660],[128.57201020,35.84803965],[128.57216475,35.84813403],[128.57230861,35.84823902],[128.57244069,35.84835382],[128.57255997,35.84847755],[128.57266556,35.84860928],[128.57275664,35.84874799],[128.57283253,35.84889265],[128.57289264,35.84904213],[128.57293652,35.84919531],[128.57296384,35.84935103],[128.57297438,35.84950809]]]}"
6398202,"2018029","2720010300","27200002","대구광역시 남구2","대구광역시 남구 대명동(영대병원역 부근)",5,5,0,3,2,0,128.588852891849,35.8444133866694,"{""type"":""Polygon"",""coordinates"":[[[128.59106722,35.84439330],[128.59106095,35.84455051],[128.59103787,35.84470668],[128.59099816,35.84486061],[128.59094213,35.84501114],[128.59087019,35.84515713],[128.59078290,35.84529745],[128.59068093,35.84543104],[128.59056504,35.84555689],[128.59043611,35.84567404],[128.59029514,35.84578159],[128.59014319,35.84587873],[128.58998142,35.84596471],[128.58981107,35.84603889],[128.58963341,35.84610070],[128.58944982,35.84614967],[128.58926169,35.84618542],[128.58907044,35.84620769],[128.58887754,35.84621630],[128.58868445,35.84621118],[128.58849264,35.84619239],[128.58830358,35.84616006],[128.58811869,35.84611443],[128.58793939,35.84605585],[128.58776705,35.84598478],[128.58760297,35.84590175],[128.58744840,35.84580739],[128.58730452,35.84570242],[128.58717243,35.84558763],[128.58705313,35.84546392],[128.58694752,35.84533220],[128.58685642,35.84519350],[128.58678051,35.84504886],[128.58672038,35.84489938],[128.58667647,35.84474620],[128.58664913,35.84459049],[128.58663856,35.84443343],[128.58664484,35.84427622],[128.58666793,35.84412006],[128.58670764,35.84396612],[128.58676369,35.84381559],[128.58683563,35.84366961],[128.58692292,35.84352929],[128.58702490,35.84339570],[128.58714080,35.84326986],[128.58726972,35.84315271],[128.58741069,35.84304517],[128.58756264,35.84294803],[128.58772441,35.84286205],[128.58789476,35.84278787],[128.58807240,35.84272607],[128.58825599,35.84267710],[128.58844412,35.84264135],[128.58863536,35.84261909],[128.58882825,35.84261048],[128.58902133,35.84261559],[128.58921313,35.84263438],[128.58940219,35.84266671],[128.58958706,35.84271234],[128.58976636,35.84277091],[128.58993869,35.84284198],[128.59010277,35.84292501],[128.59025733,35.84301937],[128.59040121,35.84312434],[128.59053330,35.84323912],[128.59065261,35.84336283],[128.59075822,35.84349454],[128.59084932,35.84363324],[128.59092524,35.84377788],[128.59098538,35.84392736],[128.59102930,35.84408053],[128.59105664,35.84423624],[128.59106722,35.84439330]]]}"
6398719,"2018029","1132010800","11320005","서울특별시 도봉구5","서울특별시 도봉구 도봉동(도봉역2번출구 부근)",2,2,1,0,1,0,127.045185479228,37.677499323336,"{""type"":""Polygon"",""coordinates"":[[[127.04745348,37.67750805],[127.04744390,37.67766512],[127.04741713,37.67782094],[127.04737337,37.67797430],[127.04731296,37.67812406],[127.04723636,37.67826905],[127.04714415,37.67840819],[127.04703703,37.67854041],[127.04691583,37.67866471],[127.04678145,37.67878014],[127.04663492,37.67888583],[127.04647736,37.67898095],[127.04630998,37.67906481],[127.04613403,37.67913675],[127.04595086,37.67919622],[127.04576187,37.67924279],[127.04556849,37.67927608],[127.04537219,37.67929585],[127.04517447,37.67930195],[127.04497684,37.67929432],[127.04478080,37.67927304],[127.04458783,37.67923826],[127.04439942,37.67919024],[127.04421698,37.67912935],[127.04404192,37.67905606],[127.04387556,37.67897092],[127.04371918,37.67887458],[127.04357395,37.67876777],[127.04344099,37.67865131],[127.04332130,37.67852609],[127.04321580,37.67839304],[127.04312530,37.67825320],[127.04305047,37.67810762],[127.04299189,37.67795741],[127.04295001,37.67780371],[127.04292514,37.67764770],[127.04291747,37.67749055],[127.04292707,37.67733348],[127.04295385,37.67717767],[127.04299762,37.67702430],[127.04305803,37.67687455],[127.04313464,37.67672956],[127.04322685,37.67659042],[127.04333397,37.67645820],[127.04345519,37.67633391],[127.04358956,37.67621848],[127.04373609,37.67611280],[127.04389364,37.67601768],[127.04406103,37.67593383],[127.04423697,37.67586189],[127.04442013,37.67580242],[127.04460912,37.67575586],[127.04480249,37.67572257],[127.04499877,37.67570280],[127.04519648,37.67569670],[127.04539410,37.67570432],[127.04559014,37.67572560],[127.04578310,37.67576039],[127.04597150,37.67580840],[127.04615393,37.67586929],[127.04632899,37.67594257],[127.04649534,37.67602771],[127.04665173,37.67612405],[127.04679695,37.67623085],[127.04692992,37.67634731],[127.04704961,37.67647253],[127.04715511,37.67660557],[127.04724562,37.67674541],[127.04732045,37.67689099],[127.04737904,37.67704120],[127.04742093,37.67719489],[127.04744581,37.67735091],[127.04745348,37.67750805]]]}"
6397958,"2018029","1135010500","11350001","서울특별시 노원구1","서울특별시 노원구 상계동(우물집원조추어탕순대국 부근)",4,4,0,3,1,0,127.08204080554,37.6712348042437,"{""type"":""Polygon"",""coordinates"":[[[127.08430863,37.67124282],[127.08429912,37.67139990],[127.08427243,37.67155572],[127.08422875,37.67170910],[127.08416842,37.67185887],[127.08409190,37.67200390],[127.08399977,37.67214306],[127.08389273,37.67227532],[127.08377159,37.67239966],[127.08363728,37.67251513],[127.08349082,37.67262086],[127.08333332,37.67271604],[127.08316599,37.67279994],[127.08299009,37.67287194],[127.08280696,37.67293147],[127.08261801,37.67297809],[127.08242466,37.67301145],[127.08222839,37.67303128],[127.08203069,37.67303744],[127.08183307,37.67302988],[127.08163703,37.67300865],[127.08144407,37.67297393],[127.08125564,37.67292597],[127.08107320,37.67286514],[127.08089811,37.67279191],[127.08073173,37.67270682],[127.08057530,37.67261053],[127.08043003,37.67250376],[127.08029702,37.67238734],[127.08017729,37.67226215],[127.08007173,37.67212914],[127.07998116,37.67198933],[127.07990627,37.67184377],[127.07984762,37.67169358],[127.07980567,37.67153989],[127.07978072,37.67138389],[127.07977298,37.67122675],[127.07978250,37.67106967],[127.07980920,37.67091385],[127.07985288,37.67076047],[127.07991322,37.67061070],[127.07998975,37.67046568],[127.08008189,37.67032651],[127.08018894,37.67019426],[127.08031007,37.67006993],[127.08044439,37.66995446],[127.08059085,37.66984873],[127.08074834,37.66975356],[127.08091567,37.66966965],[127.08109156,37.66959766],[127.08127468,37.66953813],[127.08146363,37.66949151],[127.08165697,37.66945816],[127.08185323,37.66943833],[127.08205091,37.66943217],[127.08224852,37.66943973],[127.08244455,37.66946095],[127.08263751,37.66949567],[127.08282593,37.66954363],[127.08300837,37.66960446],[127.08318345,37.66967769],[127.08334983,37.66976278],[127.08350625,37.66985906],[127.08365152,37.66996582],[127.08378453,37.67008224],[127.08390427,37.67020742],[127.08400983,37.67034043],[127.08410041,37.67048024],[127.08417530,37.67062580],[127.08423396,37.67077599],[127.08427592,37.67092967],[127.08430088,37.67108568],[127.08430863,37.67124282]]]}"
6399026,"2018029","1135010500","11350002","서울특별시 노원구2","서울특별시 노원구 상계동(수락산역4번출구 부근)",4,4,0,3,1,0,127.05578865972,37.6758732951174,"{""type"":""Polygon"",""coordinates"":[[[127.05805662,37.67588182],[127.05804706,37.67603889],[127.05802031,37.67619471],[127.05797657,37.67634808],[127.05791619,37.67649784],[127.05783961,37.67664284],[127.05774742,37.67678199],[127.05764032,37.67691422],[127.05751914,37.67703853],[127.05738478,37.67715397],[127.05723827,37.67725967],[127.05708073,37.67735481],[127.05691336,37.67743868],[127.05673742,37.67751064],[127.05655427,37.67757013],[127.05636528,37.67761671],[127.05617191,37.67765002],[127.05597562,37.67766981],[127.05577791,37.67767592],[127.05558028,37.67766832],[127.05538424,37.67764705],[127.05519127,37.67761229],[127.05500285,37.67756428],[127.05482042,37.67750341],[127.05464535,37.67743014],[127.05447898,37.67734501],[127.05432258,37.67724869],[127.05417734,37.67714189],[127.05404437,37.67702544],[127.05392467,37.67690023],[127.05381915,37.67676719],[127.05372863,37.67662736],[127.05365378,37.67648178],[127.05359518,37.67633158],[127.05355328,37.67617788],[127.05352839,37.67602187],[127.05352070,37.67586473],[127.05353027,37.67570766],[127.05355703,37.67555184],[127.05360077,37.67539847],[127.05366117,37.67524872],[127.05373775,37.67510371],[127.05382995,37.67496457],[127.05393705,37.67483234],[127.05405824,37.67470803],[127.05419260,37.67459260],[127.05433910,37.67448690],[127.05449664,37.67439176],[127.05466401,37.67430790],[127.05483994,37.67423595],[127.05502309,37.67417646],[127.05521206,37.67412988],[127.05540543,37.67409657],[127.05560170,37.67407679],[127.05579941,37.67407067],[127.05599703,37.67407827],[127.05619306,37.67409954],[127.05638602,37.67413430],[127.05657443,37.67418230],[127.05675686,37.67424317],[127.05693192,37.67431644],[127.05709828,37.67440156],[127.05725468,37.67449789],[127.05739992,37.67460468],[127.05753290,37.67472112],[127.05765260,37.67484633],[127.05775812,37.67497936],[127.05784865,37.67511920],[127.05792350,37.67526477],[127.05798211,37.67541497],[127.05802402,37.67556866],[127.05804892,37.67572467],[127.05805662,37.67588182]]]}"
6399359,"2018029","1156011100","11560003","서울특별시 영등포구3","서울특별시 영등포구 당산동1가(영등포유통상가교차로 부근)",3,5,0,2,3,0,126.895607507981,37.5208203798575,"{""type"":""Polygon"",""coordinates"":[[[126.89787071,37.52083194],[126.89786083,37.52098901],[126.89783381,37.52114479],[126.89778984,37.52129810],[126.89772926,37.52144778],[126.89765254,37.52159268],[126.89756025,37.52173171],[126.89745310,37.52186380],[126.89733190,37.52198795],[126.89719758,37.52210321],[126.89705115,37.52220871],[126.89689374,37.52230364],[126.89672654,37.52238729],[126.89655082,37.52245900],[126.89636792,37.52251825],[126.89617923,37.52256458],[126.89598620,37.52259763],[126.89579028,37.52261716],[126.89559297,37.52262301],[126.89539577,37.52261514],[126.89520018,37.52259361],[126.89500769,37.52255858],[126.89481976,37.52251033],[126.89463784,37.52244922],[126.89446329,37.52237570],[126.89429745,37.52229035],[126.89414159,37.52219382],[126.89399687,37.52208683],[126.89386442,37.52197020],[126.89374524,37.52184482],[126.89364022,37.52171165],[126.89355019,37.52157169],[126.89347581,37.52142601],[126.89341765,37.52127573],[126.89337616,37.52112198],[126.89335165,37.52096593],[126.89334431,37.52080878],[126.89335419,37.52065171],[126.89338123,37.52049593],[126.89342520,37.52034262],[126.89348579,37.52019294],[126.89356252,37.52004804],[126.89365481,37.51990902],[126.89376197,37.51977693],[126.89388317,37.51965279],[126.89401749,37.51953753],[126.89416392,37.51943203],[126.89432133,37.51933710],[126.89448852,37.51925346],[126.89466424,37.51918175],[126.89484713,37.51912250],[126.89503581,37.51907618],[126.89522883,37.51904313],[126.89542475,37.51902360],[126.89562205,37.51901775],[126.89581924,37.51902562],[126.89601482,37.51904715],[126.89620730,37.51908217],[126.89639521,37.51913042],[126.89657713,37.51919154],[126.89675168,37.51926504],[126.89691751,37.51935039],[126.89707338,37.51944692],[126.89721809,37.51955391],[126.89735054,37.51967053],[126.89746973,37.51979591],[126.89757474,37.51992908],[126.89766479,37.52006904],[126.89773918,37.52021471],[126.89779734,37.52036499],[126.89783884,37.52051874],[126.89786336,37.52067479],[126.89787071,37.52083194]]]}"
