iter	Passed	Remaining
0	4	4275
1	5	2668
2	7	2387
3	9	2254
4	11	2194
5	13	2277
6	16	2384
7	19	2410
8	21	2398
9	23	2363
10	25	2331
11	27	2298
12	30	2285
13	34	2397
14	36	2365
15	38	2338
16	40	2334
17	41	2284
18	43	2228
19	45	2240
20	49	2287
21	51	2297
22	53	2279
23	55	2261
24	57	2245
25	60	2255
26	63	2296
27	65	2263
28	67	2259
29	70	2278
30	72	2264
31	73	2221
32	75	2213
33	78	2232
34	80	2229
35	81	2189
36	83	2178
37	85	2171
38	88	2177
39	90	2173
40	92	2173
41	96	2198
42	98	2190
43	100	2179
44	101	2160
45	103	2150
46	106	2159
47	109	2164
48	111	2158
49	113	2152
50	115	2152
51	117	2146
52	119	2141
53	121	2136
54	124	2146
55	127	2151
56	128	2127
57	130	2120
58	132	2116
59	135	2125
60	137	2118
61	140	2120
62	143	2130
63	144	2112
64	146	2106
65	148	2103
66	150	2102
67	153	2104
68	156	2109
69	159	2115
70	161	2112
71	163	2112
72	166	2112
73	168	2106
74	169	2095
75	172	2097
76	175	2100
77	177	2093
78	179	2088
79	181	2091
80	183	2087
81	184	2069
82	187	2071
83	190	2081
84	192	2076
85	195	2075
86	197	2070
87	200	2073
88	202	2073
89	205	2078
90	207	2075
91	210	2075
92	211	2062
93	213	2057
94	214	2044
95	216	2038
96	219	2046
97	222	2046
98	223	2035
99	225	2028
100	228	2029
101	229	2020
102	231	2014
103	233	2015
104	235	2006
105	238	2009
106	240	2003
107	242	1999
108	244	1996
109	246	1997
110	249	1998
111	252	2000
112	254	2001
113	257	2001
114	259	1997
115	260	1986
116	262	1982
117	265	1983
118	268	1987
119	270	1984
120	272	1979
121	274	1978
122	276	1974
123	279	1971
124	282	1977
125	285	1980
126	287	1976
127	289	1971
128	291	1967
129	293	1965
130	295	1962
131	298	1961
132	299	1954
133	302	1953
134	304	1949
135	306	1944
136	307	1939
137	309	1936
138	314	1946
139	316	1942
140	318	1938
141	320	1934
142	322	1932
143	324	1928
144	327	1928
145	330	1932
146	332	1929
147	334	1925
148	336	1921
149	339	1924
150	343	1931
151	345	1929
152	347	1926
153	351	1928
154	353	1924
155	354	1920
156	357	1916
157	360	1921
158	362	1917
159	364	1913
160	366	1910
161	369	1910
162	371	1905
163	373	1904
164	377	1908
165	379	1905
166	381	1901
167	383	1898
168	385	1894
169	388	1896
170	390	1894
171	392	1891
172	395	1888
173	397	1887
174	399	1884
175	401	1880
176	404	1880
177	407	1883
178	409	1879
179	411	1875
180	413	1872
181	416	1871
182	417	1862
183	419	1861
184	423	1864
185	425	1863
186	427	1859
187	429	1856
188	432	1853
189	434	1851
190	437	1850
191	439	1850
192	441	1847
193	443	1842
194	445	1838
195	447	1835
196	449	1832
197	452	1832
198	454	1831
199	456	1827
200	458	1824
201	461	1822
202	463	1821
203	465	1817
204	469	1818
205	472	1819
206	474	1816
207	476	1814
208	478	1810
209	480	1809
210	483	1809
211	486	1807
212	488	1804
213	490	1802
214	492	1799
215	494	1795
216	496	1792
217	500	1794
218	502	1791
219	504	1787
220	506	1784
221	508	1783
222	510	1780
223	513	1778
224	516	1778
225	518	1777
226	521	1775
227	523	1771
228	525	1768
229	527	1766
230	530	1767
231	533	1766
232	536	1764
233	538	1762
234	540	1758
235	542	1755
236	543	1749
237	545	1747
238	548	1746
239	550	1743
240	552	1740
241	555	1738
242	556	1735
243	558	1731
244	562	1732
245	565	1733
246	567	1730
247	569	1727
248	571	1723
249	574	1723
250	575	1717
251	577	1714
252	579	1711
253	582	1709
254	583	1704
255	585	1700
256	587	1697
257	588	1693
258	591	1691
259	594	1691
260	596	1687
261	598	1684
262	600	1682
263	602	1679
264	604	1676
265	606	1674
266	610	1674
267	613	1674
268	615	1672
269	617	1669
270	619	1666
271	622	1665
272	631	1681
273	647	1714
274	652	1720
275	663	1739
276	667	1743
277	671	1742
278	674	1742
279	677	1743
280	681	1742
281	684	1741
282	687	1741
283	690	1741
284	692	1737
285	694	1733
286	696	1731
287	699	1728
288	701	1725
289	704	1725
290	707	1722
291	709	1720
292	711	1716
293	713	1713
294	716	1711
295	718	1709
296	721	1708
297	723	1705
298	726	1702
299	728	1699
300	730	1695
301	732	1694
302	736	1693
303	738	1690
304	740	1686
305	742	1683
306	745	1682
307	747	1679
308	750	1677
309	753	1677
310	755	1674
311	757	1670
312	759	1667
313	762	1664
314	764	1662
315	767	1661
316	769	1656
317	771	1653
318	773	1651
319	775	1647
320	777	1643
321	779	1640
322	782	1640
323	784	1637
324	786	1634
325	789	1632
326	792	1630
327	794	1627
328	796	1625
329	800	1624
330	802	1621
331	804	1618
332	806	1615
333	807	1610
334	810	1608
335	813	1607
336	815	1605
337	817	1601
338	820	1599
339	822	1596
340	824	1593
341	827	1591
342	829	1589
343	832	1587
344	833	1582
345	835	1578
346	837	1576
347	840	1574
348	842	1570
349	845	1570
350	849	1570
351	852	1570
352	855	1568
353	857	1565
354	859	1562
355	862	1559
